Location Type,Name,Address,City,State,Zip,Phone,Latitude,Longitude
AMBEST Travel Center,360 Truck Stop,US Hwy 360,Amelia Court House,VA,23002,(804) 561-4719,37.357869,-77.87461
AMBEST Travel Center,76th Street Truck Plaza,US Hwy 131,Byron Center,MI,49315,(616) 455-3600,42.82578,-85.67471
AMBEST Fuel Stop,7-Eleven - Allentown Plaza #7087,I-476 / PA TNPK [N & S] MM 55,Wescosville,PA,18106,(610) 398-7086,40.574249,-75.5584
AMBEST Fuel Stop,7-Eleven - Andrews,US 385 at CR 1910,Andrews,TX,79714,(432) 524-9189,32.306719,-102.54315
AMBEST Fuel Stop,7-Eleven - Ballinger,US Hwy 67 at Baker Street,Ballinger,TX,76821,(325) 365-2876,31.727419,-99.9572
AMBEST Fuel Stop,7-Eleven - Bay City #40974,TX 35 at Bayou Drive / 5620 7th Street (Hwy 35),Bay City,TX,77414,(979) 244-4737,28.99068,-95.92569
AMBEST Fuel Stop,7-Eleven - Bedford #40275,I-76 WB MM150,Bedford,PA,15522,(814) 623-6203,40.02964,-78.492429
AMBEST Fuel Stop,7-Eleven - Beeville #40800,1620 FM 351 E,Beeville,TX,78102,(361) 354-5459,28.42929,-97.742239
AMBEST Fuel Stop,7-Eleven - Big Lake 50,US 67 at TX 137 / 50 W 2nd St,Big Lake,TX,76932,(325) 884-3092,31.191199,-101.46647
AMBEST Fuel Stop,7-Eleven - Big Lake 91,US HWY 67,Big Lake,TX,76932,(325) 884-2641,31.19226,-101.46675
AMBEST Fuel Stop,7-Eleven - Blanco #40574,1138 US Hwy 281 S,Blanco,TX,78606,(830) 833-5874,30.08406,-98.41772
AMBEST Fuel Stop,7-Eleven - Blue Heron Plaza #7753,6164 CR 165,Genoa,OH,43430,(419) 855-7230,41.49132,-83.368899
AMBEST Fuel Stop,7-Eleven - Blue Mountain Plaza #7081,I-76 24 Miles West of Exit 226,Newburg,PA,17240,(717) 423-5482,40.16568,-77.59783
AMBEST Fuel Stop,7-Eleven - Bowmansville Plaza #7092,I-76E MM 290,Bowmansville,PA,17507,(717) 445-9791,40.20221,-76.01518
AMBEST Fuel Stop,7-Eleven - Brady,US Hwy 87 / US Hwy 190,Brady,TX,76825,(325) 597-0200,31.11485,-99.33499
AMBEST Fuel Stop,7-Eleven - Brady's Leap Plaza #7762,9250 Limeridge Rd,Mantua,OH,44255,(330) 298-1596,41.2426,-81.17673
AMBEST Fuel Stop,7-Eleven - Bronte,US-277 / SH-158,Bronte,TX,76933,(325) 473-6601,31.886649,-100.291569
AMBEST Fuel Stop,7-Eleven - Brownsville #40729,2305 FM 511,Brownsville,TX,78520,(956) 831-3178,25.93954,-97.408029
AMBEST Fuel Stop,7-Eleven - Brownwood,US 377 / CR 2376,Brownwood,TX,76801,(325) 646-7209,31.6872,-99.000399
AMBEST Fuel Stop,7-Eleven - Burnet #40547,US 281 / 2501 S Water,Burnet,TX,78611,(512) 756-2521,30.73852,-98.23456
AMBEST Fuel Stop,7-Eleven - Carrizo Spring #40532,US 83 at US 277 / 101 S 1st St,Carrizo Springs,TX,78834,(830) 876-3359,28.520579,-99.856899
AMBEST Fuel Stop,7-Eleven - Cisco,I-20 Exit 330,Cisco,TX,76437,(432) 684-4533,32.37599,-99.00296
AMBEST Express,7-Eleven - Colorado City,I-20 Exit 217,Colorado City,TX,79512,(325) 728-9494,32.409829,-100.84325
AMBEST Fuel Stop,7-Eleven - Comanche,US-67,Comanche,TX,76442,(325) 356-2422,31.897849,-98.61381
AMBEST Fuel Stop,7-Eleven - Combes #40705,I-69E at TX 107 - 21469 Hwy 77 Exp,Combes,TX,78552,(956) 412-1304,26.24784,-97.725679
AMBEST Fuel Stop,7-Eleven - Commodore Perry Plaza #7756,888 N County Rd,Clyde,OH,43410,(419) 547-8585,41.367809,-82.957599
AMBEST Fuel Stop,7-Eleven - Corpus Christi #5216,TX 358 / 601 S Padre Island Dr,Corpus Christi,TX,78405,(361) 814-8206,27.755009,-97.46056
AMBEST Express,7-Eleven - Cotulla #40535,I-35 Exit 68 at Bus. 35,Cotulla,TX,78014,(830) 879-5354,28.451339,-99.238889
AMBEST Fuel Stop,7-Eleven - Cuero #40885,US Hwy 183 / 4200 N Esplanade,Cuero,TX,77954,(361) 275-8200,29.13101,-97.27701
AMBEST Fuel Stop,7-Eleven - Cumberland Valley Plaza #7082,13 Burgners Mill Rd,Plainfield,PA,17015,(717) 258-4397,40.20535,-77.28695
AMBEST Fuel Stop,7-Eleven - Dayton #41014,US 90 at TX 146 / 811 Hwy 90,Dayton,TX,77535,(936) 258-6967,30.04072,-94.894369
AMBEST Fuel Stop,7-Eleven - Del Rio #40530,TX 239 at Las Vacas St / 2200 Spur 239,Del Rio,TX,78840,(830) 774-1881,29.34673,-100.91647
AMBEST Fuel Stop,7-Eleven - Denver City,SH-83 / SH-214,Denver City,TX,79323,(806) 592-7113,32.9626,-102.81832
AMBEST Fuel Stop,7-Eleven - Eagle Pass #40537,TX 480 at CR 1021 / 4377 FM 201,Eagle Pass,TX,78852,(830) 773-3939,28.67059,-100.45437
AMBEST Fuel Stop,7-Eleven - El Campo #40977,US 59 FM 1162 at TX 71 / 1710 S Mechanic St,El Campo,TX,77437,(979) 543-7701,29.178979,-96.26187
AMBEST Fuel Stop,7-Eleven - Erie Islands Plaza #7755,1012 N County Rd,Clyde,OH,43410,(419) 547-6355,41.369199,-82.957689
AMBEST Fuel Stop,7-Eleven - Ernie Pyle Plaza #2773,Indiana Toll Road (I-80/I-90) MM 126 WB,Howe,IN,46746,(260) 562-2870,41.7462,-85.32738
AMBEST Fuel Stop,7-Eleven - Falfurrias #40813,500 E Rice St,Falfurrias,TX,78355,(361) 325-1337,27.225729,-98.1401
AMBEST Fuel Stop,7-Eleven - Falfurrias #40815,US Hwy 281 at TX 285 / 112 N Hwy 281,Falfurrias,TX,78335,(361) 325-2560,27.22645,-98.13996
AMBEST Express,7-Eleven - Fort Stockton,I-10 Exit 257 (North Hwy 285),Fort Stockton,TX,79735,(432) 336-8861,30.9023,-102.912499
AMBEST Fuel Stop,7-Eleven - Freer #40911,100 W Riley,Freer,TX,78357,(361) 394-6610,27.88294,-98.61824
AMBEST Fuel Stop,7-Eleven - Gene S Porter Plaza #2772,Indiana Toll Road (I-80/I-90) MM 126 EB,Howe,IN,46746,(260) 562-2676,41.74573,-85.33024
AMBEST Fuel Stop,7-Eleven - George Ade #2778,I-80/I-90 Exit 23,Portage,IN,46368,(219) 762-4882,41.58767,-87.218699
AMBEST Fuel Stop,7-Eleven - George Craig Plaza #2774,Indiana Toll Road (I-80/I-90) MM 90 EB,Elkhart,IN,46514,(574) 266-4080,41.731699,-86.00636
AMBEST Fuel Stop,7-Eleven - George West#40809,I-37 Exit 56,George West,TX,78022,(361) 449-2214,28.33802,-98.029179
AMBEST Fuel Stop,7-Eleven - George West#40811,I-37 Exit 56 at US Hwy 59,George West,TX,78022,(361) 449-3766,28.33942,-98.025689
AMBEST Fuel Stop,7-Eleven - Glacier Hill Plaza #7764,I-76E Exit 235,New Springfield,OH,44443,(330) 542-9615,40.93858,-80.58587
AMBEST Fuel Stop,7-Eleven - Great Lakes Plaza #7759,2000 Edgerton Rd,Broadview Heights,OH,44147,(440) 717-9530,41.292619,-81.6723
AMBEST Fuel Stop,7-Eleven - Haskell,US-380 / US-277,Haskelle,TX,79521,(940) 864-3434,33.157089,-99.726749
AMBEST Fuel Stop,7-Eleven - Hebbronville #40892,611 N Smith Avenue,Hebbronville,TX,78361,(361) 527-5584,27.311879,-98.67879
AMBEST Fuel Stop,7-Eleven - Henry Schricker Plaza #2775,Indiana Toll Road (I-80/I-90) MM 90 WB,Elkhart,IN,46514,(574) 266-4503,41.73255,-86.003929
AMBEST Fuel Stop,7-Eleven - Hereford,US 60 at Progressive/2901 East 1st St,Hereford,TX,79045,(806) 363-1030,34.829639,-102.36997
AMBEST Fuel Stop,7-Eleven - Hickory Run Plaza #7088,I-476 at MM 86,Jim Thorpe,PA,18229,(570) 325-2673,40.97063,-75.631349
AMBEST Fuel Stop,7-Eleven - Highspire Plaza #7090,I-76E Exit 250,Middletown,PA,17057,(717) 944-9266,40.20976,-76.742549
AMBEST Fuel Stop,7-Eleven - Hobbs,US Hwy 62,Hobbs,NM,88240,(575) 393-4467,32.696199,-103.17908
AMBEST Fuel Stop,7-Eleven - Houston #40961,I-45 Exit 63,Houston,TX,77090,(281) 209-0918,29.9812,-95.4213
AMBEST Fuel Stop,7-Eleven - Houston #40980,I-10 Exit 778A,Houston,TX,77015,(713) 451-5212,29.763839,-95.21423
AMBEST Fuel Stop,7-Eleven - Houston #40983,US 90 at Sheldon Rd / 9735 Sheldon Rd,Houston,TX,77049,(281) 456-0147,29.856359,-95.12829
